QID,title,difficulty,categorySlug,topicTags
998,Maximum Binary Tree II,Medium,algorithms,"tree,binary-tree"
999,Available Captures for Rook,Easy,algorithms,"array,matrix,simulation"
1000,Minimum Cost to Merge Stones,Hard,algorithms,"array,dynamic-programming,prefix-sum"
1001,Grid Illumination,Hard,algorithms,"array,hash-table"
1002,Find Common Characters,Easy,algorithms,"array,hash-table,string"
1003,Check If Word Is Valid After Substitutions,Medium,algorithms,"string,stack"
1004,Max Consecutive Ones III,Medium,algorithms,"array,binary-search,sliding-window,prefix-sum"
1005,Maximize Sum Of Array After K Negations,Easy,algorithms,"array,greedy,sorting"
1006,Clumsy Factorial,Medium,algorithms,"math,stack,simulation"
1007,Minimum Domino Rotations For Equal Row,Medium,algorithms,"array,greedy"
1008,Construct Binary Search Tree from Preorder Traversal,Medium,algorithms,"array,stack,tree,binary-search-tree,monotonic-stack,binary-tree"
1009,Complement of Base 10 Integer,Easy,algorithms,bit-manipulation
1010,Pairs of Songs With Total Durations Divisible by 60,Medium,algorithms,"array,hash-table,counting"
1011,Capacity To Ship Packages Within D Days,Medium,algorithms,"array,binary-search"
1012,Numbers With Repeated Digits,Hard,algorithms,"math,dynamic-programming"
1013,Partition Array Into Three Parts With Equal Sum,Easy,algorithms,"array,greedy"
1014,Best Sightseeing Pair,Medium,algorithms,"array,dynamic-programming"
1015,Smallest Integer Divisible by K,Medium,algorithms,"hash-table,math"
1016,Binary String With Substrings Representing 1 To N,Medium,algorithms,"hash-table,string,bit-manipulation,sliding-window"
1017,Convert to Base -2,Medium,algorithms,math
1018,Binary Prefix Divisible By 5,Easy,algorithms,"array,bit-manipulation"
1019,Next Greater Node In Linked List,Medium,algorithms,"array,linked-list,stack,monotonic-stack"
1020,Number of Enclaves,Medium,algorithms,"array,depth-first-search,breadth-first-search,union-find,matrix"
1021,Remove Outermost Parentheses,Easy,algorithms,"string,stack"
1022,Sum of Root To Leaf Binary Numbers,Easy,algorithms,"tree,depth-first-search,binary-tree"
1023,Camelcase Matching,Medium,algorithms,"array,two-pointers,string,trie,string-matching"
1024,Video Stitching,Medium,algorithms,"array,dynamic-programming,greedy"
1025,Divisor Game,Easy,algorithms,"math,dynamic-programming,brainteaser,game-theory"
1026,Maximum Difference Between Node and Ancestor,Medium,algorithms,"tree,depth-first-search,binary-tree"
1027,Longest Arithmetic Subsequence,Medium,algorithms,"array,hash-table,binary-search,dynamic-programming"
1028,Recover a Tree From Preorder Traversal,Hard,algorithms,"string,tree,depth-first-search,binary-tree"
1029,Two City Scheduling,Medium,algorithms,"array,greedy,sorting"
1030,Matrix Cells in Distance Order,Easy,algorithms,"array,math,geometry,sorting,matrix"
1031,Maximum Sum of Two Non-Overlapping Subarrays,Medium,algorithms,"array,dynamic-programming,sliding-window"
1032,Stream of Characters,Hard,algorithms,"array,string,design,trie,data-stream"
1033,Moving Stones Until Consecutive,Medium,algorithms,"math,brainteaser"
1034,Coloring A Border,Medium,algorithms,"array,depth-first-search,breadth-first-search,matrix"
1035,Uncrossed Lines,Medium,algorithms,"array,dynamic-programming"
1036,Escape a Large Maze,Hard,algorithms,"array,hash-table,depth-first-search,breadth-first-search"
1037,Valid Boomerang,Easy,algorithms,"array,math,geometry"
1038,Binary Search Tree to Greater Sum Tree,Medium,algorithms,"tree,depth-first-search,binary-search-tree,binary-tree"
1039,Minimum Score Triangulation of Polygon,Medium,algorithms,"array,dynamic-programming"
1040,Moving Stones Until Consecutive II,Medium,algorithms,"array,math,sliding-window,sorting"
1041,Robot Bounded In Circle,Medium,algorithms,"math,string,simulation"
1042,Flower Planting With No Adjacent,Medium,algorithms,"depth-first-search,breadth-first-search,graph"
1043,Partition Array for Maximum Sum,Medium,algorithms,"array,dynamic-programming"
1044,Longest Duplicate Substring,Hard,algorithms,"string,binary-search,sliding-window,rolling-hash,suffix-array,hash-function"
1045,Customers Who Bought All Products,Medium,database,database
1046,Last Stone Weight,Easy,algorithms,"array,heap-priority-queue"
1047,Remove All Adjacent Duplicates In String,Easy,algorithms,"string,stack"
1048,Longest String Chain,Medium,algorithms,"array,hash-table,two-pointers,string,dynamic-programming,sorting"
1049,Last Stone Weight II,Medium,algorithms,"array,dynamic-programming"
1050,Actors and Directors Who Cooperated At Least Three Times,Easy,database,database
1051,Height Checker,Easy,algorithms,"array,sorting,counting-sort"
1052,Grumpy Bookstore Owner,Medium,algorithms,"array,sliding-window"
1053,Previous Permutation With One Swap,Medium,algorithms,"array,greedy"
1054,Distant Barcodes,Medium,algorithms,"array,hash-table,greedy,sorting,heap-priority-queue,counting"
1055,Shortest Way to Form String,Medium,algorithms,"two-pointers,string,binary-search,greedy"
1056,Confusing Number,Easy,algorithms,math
1057,Campus Bikes,Medium,algorithms,"array,sorting,heap-priority-queue"
1058,Minimize Rounding Error to Meet Target,Medium,algorithms,"array,math,string,greedy,sorting"
1059,All Paths from Source Lead to Destination,Medium,algorithms,"graph,topological-sort"
1060,Missing Element in Sorted Array,Medium,algorithms,"array,binary-search"
1061,Lexicographically Smallest Equivalent String,Medium,algorithms,"string,union-find"
1062,Longest Repeating Substring,Medium,algorithms,"string,binary-search,dynamic-programming,rolling-hash,suffix-array,hash-function"
1063,Number of Valid Subarrays,Hard,algorithms,"array,stack,monotonic-stack"
1064,Fixed Point,Easy,algorithms,"array,binary-search"
1065,Index Pairs of a String,Easy,algorithms,"array,string,trie,sorting"
1066,Campus Bikes II,Medium,algorithms,"array,dynamic-programming,backtracking,bit-manipulation,bitmask"
1067,Digit Count in Range,Hard,algorithms,"math,dynamic-programming"
1068,Product Sales Analysis I,Easy,database,database
1069,Product Sales Analysis II,Easy,database,database
1070,Product Sales Analysis III,Medium,database,database
1071,Greatest Common Divisor of Strings,Easy,algorithms,"math,string"
1072,Flip Columns For Maximum Number of Equal Rows,Medium,algorithms,"array,hash-table,matrix"
1073,Adding Two Negabinary Numbers,Medium,algorithms,"array,math"
1074,Number of Submatrices That Sum to Target,Hard,algorithms,"array,hash-table,matrix,prefix-sum"
1075,Project Employees I,Easy,database,database
1076,Project Employees II,Easy,database,database
1077,Project Employees III,Medium,database,database
1078,Occurrences After Bigram,Easy,algorithms,string
1079,Letter Tile Possibilities,Medium,algorithms,"hash-table,string,backtracking,counting"
1080,Insufficient Nodes in Root to Leaf Paths,Medium,algorithms,"tree,depth-first-search,binary-tree"
1081,Smallest Subsequence of Distinct Characters,Medium,algorithms,"string,stack,greedy,monotonic-stack"
1082,Sales Analysis I,Easy,database,database
1083,Sales Analysis II,Easy,database,database
1084,Sales Analysis III,Easy,database,database
1085,Sum of Digits in the Minimum Number,Easy,algorithms,"array,math"
1086,High Five,Easy,algorithms,"array,hash-table,sorting,heap-priority-queue"
1087,Brace Expansion,Medium,algorithms,"string,backtracking,stack,breadth-first-search,sorting"
1088,Confusing Number II,Hard,algorithms,"math,backtracking"
1089,Duplicate Zeros,Easy,algorithms,"array,two-pointers"
1090,Largest Values From Labels,Medium,algorithms,"array,hash-table,greedy,sorting,counting"
1091,Shortest Path in Binary Matrix,Medium,algorithms,"array,breadth-first-search,matrix"
1092,Shortest Common Supersequence ,Hard,algorithms,"string,dynamic-programming"
1093,Statistics from a Large Sample,Medium,algorithms,"array,math,probability-and-statistics"
1094,Car Pooling,Medium,algorithms,"array,sorting,heap-priority-queue,simulation,prefix-sum"
1095,Find in Mountain Array,Hard,algorithms,"array,binary-search,interactive"
1096,Brace Expansion II,Hard,algorithms,"hash-table,string,backtracking,stack,breadth-first-search,sorting"
1097,Game Play Analysis V,Hard,database,database
1098,Unpopular Books,Medium,database,database
1099,Two Sum Less Than K,Easy,algorithms,"array,two-pointers,binary-search,sorting"
1100,Find K-Length Substrings With No Repeated Characters,Medium,algorithms,"hash-table,string,sliding-window"
1101,The Earliest Moment When Everyone Become Friends,Medium,algorithms,"array,union-find,sorting"
1102,Path With Maximum Minimum Value,Medium,algorithms,"array,binary-search,depth-first-search,breadth-first-search,union-find,heap-priority-queue,matrix"
1103,Distribute Candies to People,Easy,algorithms,"math,simulation"
1104,Path In Zigzag Labelled Binary Tree,Medium,algorithms,"math,tree,binary-tree"
1105,Filling Bookcase Shelves,Medium,algorithms,"array,dynamic-programming"
1106,Parsing A Boolean Expression,Hard,algorithms,"string,stack,recursion"
1107,New Users Daily Count,Medium,database,database
1108,Defanging an IP Address,Easy,algorithms,string
1109,Corporate Flight Bookings,Medium,algorithms,"array,prefix-sum"
1110,Delete Nodes And Return Forest,Medium,algorithms,"array,hash-table,tree,depth-first-search,binary-tree"
1111,Maximum Nesting Depth of Two Valid Parentheses Strings,Medium,algorithms,"string,stack"
1112,Highest Grade For Each Student,Medium,database,database
1113,Reported Posts,Easy,database,database
1114,Print in Order,Easy,concurrency,concurrency
1115,Print FooBar Alternately,Medium,concurrency,concurrency
1116,Print Zero Even Odd,Medium,concurrency,concurrency
1117,Building H2O,Medium,concurrency,concurrency
1118,Number of Days in a Month,Easy,algorithms,math
1119,Remove Vowels from a String,Easy,algorithms,string
1120,Maximum Average Subtree,Medium,algorithms,"tree,depth-first-search,binary-tree"
1121,Divide Array Into Increasing Sequences,Hard,algorithms,"array,counting"
1122,Relative Sort Array,Easy,algorithms,"array,hash-table,sorting,counting-sort"
1123,Lowest Common Ancestor of Deepest Leaves,Medium,algorithms,"hash-table,tree,depth-first-search,breadth-first-search,binary-tree"
1124,Longest Well-Performing Interval,Medium,algorithms,"array,hash-table,stack,monotonic-stack,prefix-sum"
1125,Smallest Sufficient Team,Hard,algorithms,"array,dynamic-programming,bit-manipulation,bitmask"
1126,Active Businesses,Medium,database,database
1127,User Purchase Platform,Hard,database,database
1128,Number of Equivalent Domino Pairs,Easy,algorithms,"array,hash-table,counting"
1129,Shortest Path with Alternating Colors,Medium,algorithms,"breadth-first-search,graph"
1130,Minimum Cost Tree From Leaf Values,Medium,algorithms,"array,dynamic-programming,stack,greedy,monotonic-stack"
1131,Maximum of Absolute Value Expression,Medium,algorithms,"array,math"
1132,Reported Posts II,Medium,database,database
1133,Largest Unique Number,Easy,algorithms,"array,hash-table,sorting"
1134,Armstrong Number,Easy,algorithms,math
1135,Connecting Cities With Minimum Cost,Medium,algorithms,"union-find,graph,heap-priority-queue,minimum-spanning-tree"
1136,Parallel Courses,Medium,algorithms,"graph,topological-sort"
1137,N-th Tribonacci Number,Easy,algorithms,"math,dynamic-programming,memoization"
1138,Alphabet Board Path,Medium,algorithms,"hash-table,string"
1139,Largest 1-Bordered Square,Medium,algorithms,"array,dynamic-programming,matrix"
1140,Stone Game II,Medium,algorithms,"array,math,dynamic-programming,prefix-sum,game-theory"
1141,User Activity for the Past 30 Days I,Easy,database,database
1142,User Activity for the Past 30 Days II,Easy,database,database
1143,Longest Common Subsequence,Medium,algorithms,"string,dynamic-programming"
1144,Decrease Elements To Make Array Zigzag,Medium,algorithms,"array,greedy"
1145,Binary Tree Coloring Game,Medium,algorithms,"tree,depth-first-search,binary-tree"
1146,Snapshot Array,Medium,algorithms,"array,hash-table,binary-search,design"
1147,Longest Chunked Palindrome Decomposition,Hard,algorithms,"two-pointers,string,dynamic-programming,greedy,rolling-hash,hash-function"
1148,Article Views I,Easy,database,database
1149,Article Views II,Medium,database,database
1150,Check If a Number Is Majority Element in a Sorted Array,Easy,algorithms,"array,binary-search"
1151,Minimum Swaps to Group All 1's Together,Medium,algorithms,"array,sliding-window"
1152,Analyze User Website Visit Pattern,Medium,algorithms,"array,hash-table,string,sorting"
1153,String Transforms Into Another String,Hard,algorithms,"hash-table,string,graph"
1154,Day of the Year,Easy,algorithms,"math,string"
1155,Number of Dice Rolls With Target Sum,Medium,algorithms,dynamic-programming
1156,Swap For Longest Repeated Character Substring,Medium,algorithms,"hash-table,string,sliding-window"
1157,Online Majority Element In Subarray,Hard,algorithms,"array,binary-search,design,binary-indexed-tree,segment-tree"
1158,Market Analysis I,Medium,database,database
1159,Market Analysis II,Hard,database,database
1160,Find Words That Can Be Formed by Characters,Easy,algorithms,"array,hash-table,string,counting"
1161,Maximum Level Sum of a Binary Tree,Medium,algorithms,"tree,depth-first-search,breadth-first-search,binary-tree"
1162,As Far from Land as Possible,Medium,algorithms,"array,dynamic-programming,breadth-first-search,matrix"
1163,Last Substring in Lexicographical Order,Hard,algorithms,"two-pointers,string"
1164,Product Price at a Given Date,Medium,database,database
1165,Single-Row Keyboard,Easy,algorithms,"hash-table,string"
1166,Design File System,Medium,algorithms,"hash-table,string,design,trie"
1167,Minimum Cost to Connect Sticks,Medium,algorithms,"array,greedy,heap-priority-queue"
1168,Optimize Water Distribution in a Village,Hard,algorithms,"union-find,graph,heap-priority-queue,minimum-spanning-tree"
1169,Invalid Transactions,Medium,algorithms,"array,hash-table,string,sorting"
1170,Compare Strings by Frequency of the Smallest Character,Medium,algorithms,"array,hash-table,string,binary-search,sorting"
1171,Remove Zero Sum Consecutive Nodes from Linked List,Medium,algorithms,"hash-table,linked-list"
1172,Dinner Plate Stacks,Hard,algorithms,"hash-table,stack,design,heap-priority-queue"
1173,Immediate Food Delivery I,Easy,database,database
1174,Immediate Food Delivery II,Medium,database,database
1175,Prime Arrangements,Easy,algorithms,math
1176,Diet Plan Performance,Easy,algorithms,"array,sliding-window"
1177,Can Make Palindrome from Substring,Medium,algorithms,"array,hash-table,string,bit-manipulation,prefix-sum"
1178,Number of Valid Words for Each Puzzle,Hard,algorithms,"array,hash-table,string,bit-manipulation,trie"
1179,Reformat Department Table,Easy,database,database
1180,Count Substrings with Only One Distinct Letter,Easy,algorithms,"math,string"
1181,Before and After Puzzle,Medium,algorithms,"array,hash-table,string,sorting"
1182,Shortest Distance to Target Color,Medium,algorithms,"array,binary-search,dynamic-programming"
1183,Maximum Number of Ones,Hard,algorithms,"math,greedy,sorting,heap-priority-queue"
1184,Distance Between Bus Stops,Easy,algorithms,array
1185,Day of the Week,Easy,algorithms,math
1186,Maximum Subarray Sum with One Deletion,Medium,algorithms,"array,dynamic-programming"
1187,Make Array Strictly Increasing,Hard,algorithms,"array,binary-search,dynamic-programming,sorting"
1188,Design Bounded Blocking Queue,Medium,concurrency,concurrency
1189,Maximum Number of Balloons,Easy,algorithms,"hash-table,string,counting"
1190,Reverse Substrings Between Each Pair of Parentheses,Medium,algorithms,"string,stack"
1191,K-Concatenation Maximum Sum,Medium,algorithms,"array,dynamic-programming"
1192,Critical Connections in a Network,Hard,algorithms,"depth-first-search,graph,biconnected-component"
1193,Monthly Transactions I,Medium,database,database
1194,Tournament Winners,Hard,database,database
1195,Fizz Buzz Multithreaded,Medium,concurrency,concurrency
1196,How Many Apples Can You Put into the Basket,Easy,algorithms,"array,greedy,sorting"
1197,Minimum Knight Moves,Medium,algorithms,breadth-first-search
1198,Find Smallest Common Element in All Rows,Medium,algorithms,"array,hash-table,binary-search,matrix,counting"
1199,Minimum Time to Build Blocks,Hard,algorithms,"array,math,greedy,heap-priority-queue"
1200,Minimum Absolute Difference,Easy,algorithms,"array,sorting"
1201,Ugly Number III,Medium,algorithms,"math,binary-search,combinatorics,number-theory"
1202,Smallest String With Swaps,Medium,algorithms,"array,hash-table,string,depth-first-search,breadth-first-search,union-find,sorting"
1203,Sort Items by Groups Respecting Dependencies,Hard,algorithms,"depth-first-search,breadth-first-search,graph,topological-sort"
1204,Last Person to Fit in the Bus,Medium,database,database
1205,Monthly Transactions II,Medium,database,database
1206,Design Skiplist,Hard,algorithms,"linked-list,design"
1207,Unique Number of Occurrences,Easy,algorithms,"array,hash-table"
1208,Get Equal Substrings Within Budget,Medium,algorithms,"string,binary-search,sliding-window,prefix-sum"
1209,Remove All Adjacent Duplicates in String II,Medium,algorithms,"string,stack"
1210,Minimum Moves to Reach Target with Rotations,Hard,algorithms,"array,breadth-first-search,matrix"
1211,Queries Quality and Percentage,Easy,database,database
1212,Team Scores in Football Tournament,Medium,database,database
1213,Intersection of Three Sorted Arrays,Easy,algorithms,"array,hash-table,binary-search,counting"
1214,Two Sum BSTs,Medium,algorithms,"two-pointers,binary-search,stack,tree,depth-first-search,binary-search-tree,binary-tree"
1215,Stepping Numbers,Medium,algorithms,"math,backtracking,breadth-first-search"
1216,Valid Palindrome III,Hard,algorithms,"string,dynamic-programming"
1217,Minimum Cost to Move Chips to The Same Position,Easy,algorithms,"array,math,greedy"
1218,Longest Arithmetic Subsequence of Given Difference,Medium,algorithms,"array,hash-table,dynamic-programming"
1219,Path with Maximum Gold,Medium,algorithms,"array,backtracking,matrix"
1220,Count Vowels Permutation,Hard,algorithms,dynamic-programming
1221,Split a String in Balanced Strings,Easy,algorithms,"string,greedy,counting"
1222,Queens That Can Attack the King,Medium,algorithms,"array,matrix,simulation"
1223,Dice Roll Simulation,Hard,algorithms,"array,dynamic-programming"
1224,Maximum Equal Frequency,Hard,algorithms,"array,hash-table"
1225,Report Contiguous Dates,Hard,database,database
1226,The Dining Philosophers,Medium,concurrency,concurrency
1227,Airplane Seat Assignment Probability,Medium,algorithms,"math,dynamic-programming,brainteaser,probability-and-statistics"
1228,Missing Number In Arithmetic Progression,Easy,algorithms,"array,math"
1229,Meeting Scheduler,Medium,algorithms,"array,two-pointers,sorting"
1230,Toss Strange Coins,Medium,algorithms,"array,math,dynamic-programming,probability-and-statistics"
1231,Divide Chocolate,Hard,algorithms,"array,binary-search"
1232,Check If It Is a Straight Line,Easy,algorithms,"array,math,geometry"
1233,Remove Sub-Folders from the Filesystem,Medium,algorithms,"array,string,depth-first-search,trie"
1234,Replace the Substring for Balanced String,Medium,algorithms,"string,sliding-window"
1235,Maximum Profit in Job Scheduling,Hard,algorithms,"array,binary-search,dynamic-programming,sorting"
1236,Web Crawler,Medium,algorithms,"string,depth-first-search,breadth-first-search,interactive"
1237,Find Positive Integer Solution for a Given Equation,Medium,algorithms,"math,two-pointers,binary-search,interactive"
1238,Circular Permutation in Binary Representation,Medium,algorithms,"math,backtracking,bit-manipulation"
1239,Maximum Length of a Concatenated String with Unique Characters,Medium,algorithms,"array,string,backtracking,bit-manipulation"
1240,Tiling a Rectangle with the Fewest Squares,Hard,algorithms,backtracking
1241,Number of Comments per Post,Easy,database,database
1242,Web Crawler Multithreaded,Medium,concurrency,"depth-first-search,breadth-first-search,concurrency"
1243,Array Transformation,Easy,algorithms,"array,simulation"
1244,Design A Leaderboard,Medium,algorithms,"hash-table,design,sorting"
1245,Tree Diameter,Medium,algorithms,"tree,depth-first-search,breadth-first-search,graph,topological-sort"
1246,Palindrome Removal,Hard,algorithms,"array,dynamic-programming"
1247,Minimum Swaps to Make Strings Equal,Medium,algorithms,"math,string,greedy"
1248,Count Number of Nice Subarrays,Medium,algorithms,"array,hash-table,math,sliding-window,prefix-sum"
1249,Minimum Remove to Make Valid Parentheses,Medium,algorithms,"string,stack"
1250,Check If It Is a Good Array,Hard,algorithms,"array,math,number-theory"
1251,Average Selling Price,Easy,database,database
1252,Cells with Odd Values in a Matrix,Easy,algorithms,"array,math,simulation"
1253,Reconstruct a 2-Row Binary Matrix,Medium,algorithms,"array,greedy,matrix"
1254,Number of Closed Islands,Medium,algorithms,"array,depth-first-search,breadth-first-search,union-find,matrix"
1255,Maximum Score Words Formed by Letters,Hard,algorithms,"array,hash-table,string,dynamic-programming,backtracking,bit-manipulation,counting,bitmask"
1256,Encode Number,Medium,algorithms,"math,string,bit-manipulation"
1257,Smallest Common Region,Medium,algorithms,"array,hash-table,string,tree,depth-first-search,breadth-first-search"
1258,Synonymous Sentences,Medium,algorithms,"array,hash-table,string,backtracking,sort,union-find"
1259,Handshakes That Don't Cross,Hard,algorithms,"math,dynamic-programming"
1260,Shift 2D Grid,Easy,algorithms,"array,matrix,simulation"
1261,Find Elements in a Contaminated Binary Tree,Medium,algorithms,"hash-table,tree,depth-first-search,breadth-first-search,design,binary-tree"
1262,Greatest Sum Divisible by Three,Medium,algorithms,"array,dynamic-programming,greedy,sorting"
1263,Minimum Moves to Move a Box to Their Target Location,Hard,algorithms,"array,breadth-first-search,heap-priority-queue,matrix"
1264,Page Recommendations,Medium,database,database
1265,Print Immutable Linked List in Reverse,Medium,algorithms,"linked-list,two-pointers,stack,recursion"
1266,Minimum Time Visiting All Points,Easy,algorithms,"array,math,geometry"
1267,Count Servers that Communicate,Medium,algorithms,"array,depth-first-search,breadth-first-search,union-find,matrix,counting"
1268,Search Suggestions System,Medium,algorithms,"array,string,binary-search,trie,sorting,heap-priority-queue"
1269,Number of Ways to Stay in the Same Place After Some Steps,Hard,algorithms,dynamic-programming
1270,All People Report to the Given Manager,Medium,database,database
1271,Hexspeak,Easy,algorithms,"math,string"
1272,Remove Interval,Medium,algorithms,array
1273,Delete Tree Nodes,Medium,algorithms,"array,tree,depth-first-search,breadth-first-search"
1274,Number of Ships in a Rectangle,Hard,algorithms,"array,divide-and-conquer,interactive"
1275,Find Winner on a Tic Tac Toe Game,Easy,algorithms,"array,hash-table,matrix,simulation"
1276,Number of Burgers with No Waste of Ingredients,Medium,algorithms,math
1277,Count Square Submatrices with All Ones,Medium,algorithms,"array,dynamic-programming,matrix"
1278,Palindrome Partitioning III,Hard,algorithms,"string,dynamic-programming"
1279,Traffic Light Controlled Intersection,Easy,concurrency,concurrency
1280,Students and Examinations,Easy,database,database
1281,Subtract the Product and Sum of Digits of an Integer,Easy,algorithms,math
1282,Group the People Given the Group Size They Belong To,Medium,algorithms,"array,hash-table,greedy"
1283,Find the Smallest Divisor Given a Threshold,Medium,algorithms,"array,binary-search"
1284,Minimum Number of Flips to Convert Binary Matrix to Zero Matrix,Hard,algorithms,"array,hash-table,bit-manipulation,breadth-first-search,matrix"
1285,Find the Start and End Number of Continuous Ranges,Medium,database,database
1286,Iterator for Combination,Medium,algorithms,"string,backtracking,design,iterator"
1287,Element Appearing More Than 25% In Sorted Array,Easy,algorithms,array
1288,Remove Covered Intervals,Medium,algorithms,"array,sorting"
1289,Minimum Falling Path Sum II,Hard,algorithms,"array,dynamic-programming,matrix"
1290,Convert Binary Number in a Linked List to Integer,Easy,algorithms,"linked-list,math"
1291,Sequential Digits,Medium,algorithms,enumeration
1292,Maximum Side Length of a Square with Sum Less than or Equal to Threshold,Medium,algorithms,"array,binary-search,matrix,prefix-sum"
1293,Shortest Path in a Grid with Obstacles Elimination,Hard,algorithms,"array,breadth-first-search,matrix"
1294,Weather Type in Each Country,Easy,database,database
1295,Find Numbers with Even Number of Digits,Easy,algorithms,"array,math"
1296,Divide Array in Sets of K Consecutive Numbers,Medium,algorithms,"array,hash-table,greedy,sorting"
1297,Maximum Number of Occurrences of a Substring,Medium,algorithms,"hash-table,string,sliding-window"
1298,Maximum Candies You Can Get from Boxes,Hard,algorithms,"array,breadth-first-search,graph"
1299,Replace Elements with Greatest Element on Right Side,Easy,algorithms,array
1300,Sum of Mutated Array Closest to Target,Medium,algorithms,"array,binary-search,sorting"
1301,Number of Paths with Max Score,Hard,algorithms,"array,dynamic-programming,matrix"
1302,Deepest Leaves Sum,Medium,algorithms,"tree,depth-first-search,breadth-first-search,binary-tree"
1303,Find the Team Size,Easy,database,database
1304,Find N Unique Integers Sum up to Zero,Easy,algorithms,"array,math"
1305,All Elements in Two Binary Search Trees,Medium,algorithms,"tree,depth-first-search,binary-search-tree,sorting,binary-tree"
1306,Jump Game III,Medium,algorithms,"array,depth-first-search,breadth-first-search"
1307,Verbal Arithmetic Puzzle,Hard,algorithms,"array,math,string,backtracking"
1308,Running Total for Different Genders,Medium,database,database
1309,Decrypt String from Alphabet to Integer Mapping,Easy,algorithms,string
1310,XOR Queries of a Subarray,Medium,algorithms,"array,bit-manipulation,prefix-sum"
1311,Get Watched Videos by Your Friends,Medium,algorithms,"array,hash-table,breadth-first-search,graph,sorting"
1312,Minimum Insertion Steps to Make a String Palindrome,Hard,algorithms,"string,dynamic-programming"
1313,Decompress Run-Length Encoded List,Easy,algorithms,array
1314,Matrix Block Sum,Medium,algorithms,"array,matrix,prefix-sum"
1315,Sum of Nodes with Even-Valued Grandparent,Medium,algorithms,"tree,depth-first-search,breadth-first-search,binary-tree"
1316,Distinct Echo Substrings,Hard,algorithms,"string,trie,rolling-hash,hash-function"
1317,Convert Integer to the Sum of Two No-Zero Integers,Easy,algorithms,math
1318,Minimum Flips to Make a OR b Equal to c,Medium,algorithms,bit-manipulation
1319,Number of Operations to Make Network Connected,Medium,algorithms,"depth-first-search,breadth-first-search,union-find,graph"
1320,Minimum Distance to Type a Word Using Two Fingers,Hard,algorithms,"string,dynamic-programming"
1321,Restaurant Growth,Medium,database,database
1322,Ads Performance,Easy,database,database
1323,Maximum 69 Number,Easy,algorithms,"math,greedy"
1324,Print Words Vertically,Medium,algorithms,"array,string,simulation"
1325,Delete Leaves With a Given Value,Medium,algorithms,"tree,depth-first-search,binary-tree"
1326,Minimum Number of Taps to Open to Water a Garden,Hard,algorithms,"array,dynamic-programming,greedy"
1327,List the Products Ordered in a Period,Easy,database,database
1328,Break a Palindrome,Medium,algorithms,"string,greedy"
1329,Sort the Matrix Diagonally,Medium,algorithms,"array,sorting,matrix"
1330,Reverse Subarray To Maximize Array Value,Hard,algorithms,"array,math,greedy"
1331,Rank Transform of an Array,Easy,algorithms,"array,hash-table,sorting"
1332,Remove Palindromic Subsequences,Easy,algorithms,"two-pointers,string"
1333,"Filter Restaurants by Vegan-Friendly, Price and Distance",Medium,algorithms,"array,sorting"
1334,Find the City With the Smallest Number of Neighbors at a Threshold Distance,Medium,algorithms,"dynamic-programming,graph,shortest-path"
1335,Minimum Difficulty of a Job Schedule,Hard,algorithms,"array,dynamic-programming"
1336,Number of Transactions per Visit,Hard,database,database
1337,The K Weakest Rows in a Matrix,Easy,algorithms,"array,binary-search,sorting,heap-priority-queue,matrix"
1338,Reduce Array Size to The Half,Medium,algorithms,"array,hash-table,greedy,sorting,heap-priority-queue"
1339,Maximum Product of Splitted Binary Tree,Medium,algorithms,"tree,depth-first-search,binary-tree"
1340,Jump Game V,Hard,algorithms,"array,dynamic-programming,sorting"
1341,Movie Rating,Medium,database,database
1342,Number of Steps to Reduce a Number to Zero,Easy,algorithms,"math,bit-manipulation"
1343,Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,Medium,algorithms,"array,sliding-window"
1344,Angle Between Hands of a Clock,Medium,algorithms,math
1345,Jump Game IV,Hard,algorithms,"array,hash-table,breadth-first-search"
1346,Check If N and Its Double Exist,Easy,algorithms,"array,hash-table,two-pointers,binary-search,sorting"
1347,Minimum Number of Steps to Make Two Strings Anagram,Medium,algorithms,"hash-table,string,counting"
1348,Tweet Counts Per Frequency,Medium,algorithms,"hash-table,string,binary-search,design,sorting,ordered-set"
1349,Maximum Students Taking Exam,Hard,algorithms,"array,dynamic-programming,bit-manipulation,matrix,bitmask"
1350,Students With Invalid Departments,Easy,database,database
1351,Count Negative Numbers in a Sorted Matrix,Easy,algorithms,"array,binary-search,matrix"
1352,Product of the Last K Numbers,Medium,algorithms,"array,math,design,data-stream,prefix-sum"
1353,Maximum Number of Events That Can Be Attended,Medium,algorithms,"array,greedy,sorting,heap-priority-queue"
1354,Construct Target Array With Multiple Sums,Hard,algorithms,"array,heap-priority-queue"
1355,Activity Participants,Medium,database,database
1356,Sort Integers by The Number of 1 Bits,Easy,algorithms,"array,bit-manipulation,sorting,counting"
1357,Apply Discount Every n Orders,Medium,algorithms,"array,hash-table,design"
1358,Number of Substrings Containing All Three Characters,Medium,algorithms,"hash-table,string,sliding-window"
1359,Count All Valid Pickup and Delivery Options,Hard,algorithms,"math,dynamic-programming,combinatorics"
1360,Number of Days Between Two Dates,Easy,algorithms,"math,string"
1361,Validate Binary Tree Nodes,Medium,algorithms,"tree,depth-first-search,breadth-first-search,union-find,graph,binary-tree"
1362,Closest Divisors,Medium,algorithms,math
1363,Largest Multiple of Three,Hard,algorithms,"array,math,dynamic-programming,greedy,sorting"
